Date,Transaction Description,Category,Amount,Type
2020-06-24,Taxi tax utility.,Utilities,739.56,Expense
2020-06-24,Taxi market client interest plan regular reward.,Rent,361.12,Expense
2020-06-24,Software water express.,Other,2434.9,Income
2020-06-25,Express annual transfer support food tools.,Utilities,459.58,Expense
2020-06-25,System project financial travel deal health freelance.,Health & Fitness,745.73,Expense
2020-06-25,Booking budget priority order network.,Salary,1206.18,Income
2020-06-25,Annual deposit budget tools.,Investment,3940.29,Income
2020-06-25,Balance tax.,Food & Drink,1830.64,Expense
2020-06-26,Premium entertainment support flight purchase mortgage.,Shopping,995.8,Expense
2020-06-26,Digital invoice fuel entertainment weekly insurance processed.,Investment,2134.08,Income
2020-06-26,Priority interest freelance premium hospital express entertainment.,Health & Fitness,963.52,Expense
2020-06-26,Priority restaurant gym client.,Other,2050.7,Income
2020-06-26,Order personal package business.,Other,2480.49,Income
2020-06-27,Transfer hospital insurance monthly health clinic.,Entertainment,681.8,Expense
2020-06-27,Plan priority.,Entertainment,1017.14,Expense
2020-06-27,Priority client weekly deal insurance network health.,Investment,3525.56,Income
2020-06-27,Tools online online.,Utilities,1121.04,Expense
2020-06-27,Daily investment equipment grocery.,Rent,1901.69,Expense
2020-06-27,Package network gym.,Travel,1249.75,Expense
2020-06-27,Contract booking subscription platform client annual.,Utilities,305.03,Expense
2020-06-28,Order tools.,Travel,1074.76,Expense
2020-06-28,Market business direct pharmacy delivery fee.,Travel,1257.76,Expense
2020-06-28,Parking utility project system.,Salary,738.95,Income
2020-06-28,Booking tax.,Utilities,1549.0,Expense
2020-06-28,App budget priority invoice package monthly invoice.,Health & Fitness,682.87,Expense
2020-06-28,Freelance service.,Travel,973.84,Expense
2020-06-28,Equipment taxi tax.,Investment,959.01,Income
2020-06-28,Clinic regular investment store total fee.,Entertainment,1088.12,Expense
2020-06-28,Insurance taxi parking delivery pharmacy charge bonus.,Utilities,854.53,Expense
2020-06-28,Bonus entertainment special delivery annual.,Utilities,1491.26,Expense
2020-06-29,Deal special health premium.,Shopping,1436.7,Expense
2020-06-29,Hotel discount pharmacy bonus.,Salary,1164.48,Income
2020-06-29,Economy insurance credit electricity personal personal.,Investment,3952.07,Income
2020-06-29,Store platform market app.,Salary,1069.54,Income
2020-06-29,Advance pharmacy software business.,Rent,651.91,Expense
2020-06-30,Call animal approach factor want.,Travel,98.33,Expense
2020-06-30,Executive beyond create dinner conference.,Rent,776.54,Expense
2020-06-30,System equipment reward payment digital support grocery.,Investment,1591.71,Income
2020-06-30,Direct gym loan.,Health & Fitness,1178.64,Expense
2020-07-01,Total priority pending reward.,Entertainment,956.85,Expense
2020-07-01,Flight client weekly pharmacy network digital.,Travel,918.55,Expense
2020-07-01,Savings interest hardware.,Shopping,794.64,Expense
2020-07-01,Software subscription weekly parking.,Rent,1548.89,Expense
2020-07-01,Financial material project monthly.,Rent,1501.56,Expense
2020-07-02,Project loan software deal plan monthly budget.,Investment,3596.71,Income
2020-07-02,Material subscription parking.,Food & Drink,1526.3,Expense
2020-07-02,Their off.,Entertainment,734.8,Expense
2020-07-02,System train.,Other,1045.21,Income
2020-07-02,Business monthly clinic premium regular.,Shopping,627.71,Expense
2020-07-03,Plan order support charge deposit deal parking.,Entertainment,1804.3,Expense
2020-07-03,Payment subscription network.,Food & Drink,1184.57,Expense
2020-07-03,Network train financial mortgage.,Health & Fitness,1196.09,Expense
2020-07-03,Deal restaurant tools savings.,Health & Fitness,1443.2,Expense
2020-07-03,Material water clinic annual bill salary business.,Utilities,1361.76,Expense
2020-07-03,Key continue anything wait.,Other,3071.0,Income
2020-07-03,Business order freelance.,Food & Drink,975.77,Expense
2020-07-03,Advance special invoice software fuel purchase.,Rent,829.4,Expense
2020-07-03,Hardware parking.,Entertainment,1316.89,Expense
2020-07-04,Fee budget vendor standard water standard standard.,Utilities,649.34,Expense
2020-07-04,Account gym.,Travel,1682.2,Expense
2020-07-04,State husband.,Rent,1442.31,Expense
2020-07-05,Investment debit.,Shopping,419.64,Expense
2020-07-05,Budget invoice business bill digital phone pharmacy.,Entertainment,788.88,Expense
2020-07-05,Picture approach chance none fight.,Travel,1337.12,Expense
2020-07-05,Utility daily priority discount fee online.,Shopping,310.3,Expense
2020-07-05,Monthly annual tax mall network weekly management.,Investment,2542.9,Income
2020-07-05,Clinic total hardware package.,Shopping,608.98,Expense
2020-07-05,Reward internet plan mortgage.,Travel,838.12,Expense
2020-07-06,Digital platform net charge reward gross economy.,Investment,3085.52,Income
2020-07-06,Vendor food deal.,Travel,1151.93,Expense
2020-07-06,Financial direct equipment tax savings fee.,Other,4815.03,Income
2020-07-06,Parking mortgage equipment standard pending service.,Entertainment,690.11,Expense
2020-07-06,Herself training father open investment.,Other,1925.0,Income
2020-07-06,Newspaper indicate other.,Travel,1113.28,Expense
2020-07-06,Payment charge internet balance.,Salary,123.81,Income
2020-07-06,Savings service economy standard charge deposit interest.,Rent,601.55,Expense
2020-07-06,Package utility store.,Food & Drink,1043.4,Expense
2020-07-07,Renewal discount charge package.,Entertainment,644.59,Expense
2020-07-07,Priority fee hotel hotel equipment.,Entertainment,607.32,Expense
2020-07-07,Bonus software standard tax direct service annual.,Entertainment,528.8,Expense
2020-07-07,Train adjustment.,Health & Fitness,280.83,Expense
2020-07-07,Charge app priority savings discount monthly.,Utilities,105.41,Expense
2020-07-07,Gross payment.,Shopping,1732.97,Expense
2020-07-08,Net grocery discount purchase reward hospital.,Salary,769.5,Income
2020-07-08,Insurance charge hardware package financial.,Food & Drink,459.72,Expense
2020-07-08,Art whether between several personal.,Travel,818.09,Expense
2020-07-08,Phone business daily debit reward.,Travel,247.41,Expense
2020-07-08,Online booking app premium standard weekly.,Other,2907.88,Income
2020-07-09,Deal daily invoice total.,Shopping,1344.04,Expense
2020-07-09,Material water software clinic pharmacy.,Food & Drink,1804.8,Expense
2020-07-09,Deal market entertainment.,Travel,1312.19,Expense
2020-07-09,Gross weekly renewal priority purchase online hotel.,Travel,1447.1,Expense
2020-07-09,Train net advance regular health package.,Travel,804.25,Expense
2020-07-09,Adjustment software electricity premium.,Entertainment,1303.66,Expense
2020-07-09,Household bus.,Travel,688.0,Expense
2020-07-09,Plan household.,Salary,716.13,Income
2020-07-10,Savings discount purchase.,Travel,455.71,Expense
2020-07-10,Parking network discount gross.,Food & Drink,1469.28,Expense
2020-07-10,Platform vendor client monthly shop daily.,Food & Drink,455.75,Expense
2020-07-10,Tax tools priority processed clinic health salary.,Other,3502.41,Income
2020-07-10,Business client monthly fuel charge support.,Shopping,1222.0,Expense
2020-07-10,Support fee bus.,Health & Fitness,535.14,Expense
2020-07-10,Bus mall.,Travel,284.14,Expense
2020-07-11,Train grocery bus fee.,Shopping,1856.89,Expense
2020-07-11,Church community.,Travel,580.96,Expense
2020-07-12,Priority pharmacy account.,Investment,3778.71,Income
2020-07-12,Bonus food purchase invoice daily.,Food & Drink,959.71,Expense
2020-07-12,Fee business monthly management.,Health & Fitness,725.54,Expense
2020-07-12,Phone maintenance electricity.,Entertainment,1204.99,Expense
2020-07-12,Total business train.,Travel,618.94,Expense
2020-07-12,Able late order.,Health & Fitness,935.33,Expense
2020-07-12,Discuss religious.,Entertainment,1027.24,Expense
2020-07-12,Charge freelance debit delivery.,Travel,1185.4,Expense
2020-07-12,Network renewal electricity platform salary premium.,Other,4122.13,Income
2020-07-13,Savings gross.,Other,3540.86,Income
2020-07-13,Weekly insurance.,Rent,364.06,Expense
2020-07-13,Direct interest renewal project.,Health & Fitness,556.61,Expense
2020-07-13,Personal mall store.,Health & Fitness,479.08,Expense
2020-07-13,Bonus mall clinic package direct adjustment.,Travel,1730.35,Expense
2020-07-13,Budget economy direct tax hardware service weekly.,Entertainment,1449.2,Expense
2020-07-13,Reach under.,Utilities,1321.11,Expense
2020-07-14,Budget discount invoice fuel.,Shopping,1107.08,Expense
2020-07-14,Debit tax food food budget reward.,Shopping,1083.12,Expense
2020-07-14,Material service fee equipment.,Other,2372.39,Income
2020-07-14,Tax daily.,Salary,1135.77,Income
2020-07-14,Loan budget hospital digital management.,Shopping,843.09,Expense
2020-07-14,Material shop deposit internet market.,Shopping,1125.82,Expense
2020-07-15,System salary parking weekly direct weekly.,Shopping,1012.31,Expense
2020-07-15,Delivery management regular salary store budget clinic.,Rent,1347.21,Expense
2020-07-15,Deal total internet mortgage mall.,Travel,799.31,Expense
2020-07-15,Weekly gym special monthly.,Travel,1268.0,Expense
2020-07-15,Renewal market account insurance gym total.,Rent,1248.73,Expense
2020-07-15,App purchase.,Food & Drink,1515.56,Expense
2020-07-15,Financial interest management freelance pharmacy special.,Shopping,781.41,Expense
2020-07-16,Adjustment mortgage market.,Rent,693.25,Expense
2020-07-16,Salary tax.,Travel,970.78,Expense
2020-07-16,Invoice maintenance booking freelance charge budget train.,Salary,340.2,Income
2020-07-16,Flight management restaurant plan maintenance plan.,Health & Fitness,1499.79,Expense
2020-07-16,Loan freelance contract reward.,Health & Fitness,868.72,Expense
2020-07-16,Bill advance.,Food & Drink,868.58,Expense
2020-07-17,Boy different chance enter.,Health & Fitness,195.84,Expense
2020-07-17,Deposit automatic insurance tax.,Food & Drink,387.76,Expense
2020-07-17,Plan mall processed booking charge charge.,Shopping,899.84,Expense
2020-07-17,Online electricity food.,Travel,1168.98,Expense
2020-07-17,Plan market project financial hardware budget annual.,Other,2538.54,Income
2020-07-17,Reward account food bus.,Food & Drink,1183.52,Expense
2020-07-18,Household account advance online gym.,Travel,550.51,Expense
2020-07-18,Project system weekly health standard transfer annual.,Rent,383.98,Expense
2020-07-18,Weekly management hardware management.,Investment,1141.77,Income
2020-07-18,Store hotel.,Food & Drink,1539.75,Expense
2020-07-18,Balance platform direct fuel discount.,Salary,710.8,Income
2020-07-18,Annual monthly.,Rent,1042.86,Expense
2020-07-18,Support vendor debit savings fuel debit transfer.,Investment,2140.79,Income
2020-07-18,Pending entertainment app tools bonus system.,Rent,1503.09,Expense
2020-07-19,Adjustment gym bill standard water standard.,Other,1630.66,Income
2020-07-19,Financial project processed financial processed.,Rent,608.48,Expense
2020-07-19,Utility freelance service pending food pending material.,Investment,2248.01,Income
2020-07-19,Internet contract purchase bonus client entertainment taxi.,Food & Drink,1728.98,Expense
2020-07-19,Mall transfer personal priority regular pharmacy.,Shopping,1505.44,Expense
2020-07-19,Software freelance interest.,Health & Fitness,1289.44,Expense
2020-07-19,Support shop grocery net internet.,Food & Drink,1058.87,Expense
2020-07-20,Management reward discount gross.,Entertainment,603.15,Expense
2020-07-20,Management priority automatic payment insurance equipment.,Investment,2952.98,Income
2020-07-20,Entertainment purchase monthly business standard discount.,Entertainment,380.93,Expense
2020-07-20,Arrive society.,Entertainment,1348.86,Expense
2020-07-20,Delivery order economy pharmacy.,Health & Fitness,1563.05,Expense
2020-07-20,Travel total renewal adjustment.,Utilities,325.14,Expense
2020-07-21,Express mortgage software total monthly material.,Food & Drink,1541.95,Expense
2020-07-21,Keep light fight.,Entertainment,303.23,Expense
2020-07-21,Matter management ball.,Other,1096.0,Income
2020-07-22,Support investment hotel account.,Salary,441.47,Income
2020-07-22,Week yourself public especially american.,Shopping,495.53,Expense
2020-07-22,Same page ago director.,Entertainment,1439.51,Expense
2020-07-22,Payment package tools store advance bill utility.,Health & Fitness,536.76,Expense
2020-07-22,Digital tools phone fuel project insurance entertainment.,Utilities,1050.45,Expense
2020-07-22,App reward credit.,Entertainment,1379.0,Expense
2020-07-22,Million kind everything young.,Food & Drink,1786.39,Expense
2020-07-23,Why like impact fly.,Rent,1559.06,Expense
2020-07-23,Bill train software equipment client bill fee.,Other,818.25,Income
2020-07-23,Savings digital priority.,Salary,1978.65,Income
2020-07-23,Premium travel premium hardware.,Rent,447.05,Expense
2020-07-23,System fuel premium platform.,Rent,535.7,Expense
2020-07-23,Economy processed monthly express freelance investment debit.,Investment,2594.47,Income
2020-07-23,Loan phone.,Food & Drink,1001.04,Expense
2020-07-23,Entertainment invoice business system financial management project.,Investment,4478.17,Income
2020-07-24,Priority discount order gross payment.,Rent,215.4,Expense
2020-07-24,Processed reward parking gross.,Salary,1991.88,Income
2020-07-24,Bonus fuel booking hardware material annual annual.,Rent,1383.42,Expense
2020-07-24,Annual loan annual.,Entertainment,1087.22,Expense
2020-07-24,Form really explain.,Salary,109.93,Income
2020-07-24,Financial food.,Rent,1082.58,Expense
2020-07-24,Balance debit delivery loan salary restaurant.,Health & Fitness,1227.3,Expense
2020-07-24,Food interest advance parking purchase.,Rent,1025.03,Expense
2020-07-25,Deposit tools.,Investment,1790.94,Income
2020-07-25,Loan discount.,Utilities,299.47,Expense
2020-07-25,Budget gym taxi fee.,Travel,1513.82,Expense
2020-07-26,Budget food fuel renewal budget.,Food & Drink,1892.32,Expense
2020-07-26,Hospital grocery daily financial.,Salary,453.64,Income
2020-07-26,Taxi vendor tools deal project.,Utilities,372.42,Expense
2020-07-26,Food adjustment.,Utilities,1730.23,Expense
2020-07-26,Insurance software reward mall account.,Entertainment,615.25,Expense
2020-07-26,Investment business payment interest project clinic parking.,Salary,998.94,Income
2020-07-26,Client health.,Travel,846.53,Expense
2020-07-26,Priority deal maintenance client delivery premium hospital.,Food & Drink,1310.84,Expense
2020-07-27,Bus internet.,Food & Drink,631.41,Expense
2020-07-27,Fee interest electricity.,Entertainment,1080.77,Expense
2020-07-27,Direct entertainment market renewal gross priority grocery.,Salary,604.52,Income
2020-07-27,Health priority booking pharmacy subscription.,Health & Fitness,387.48,Expense
2020-07-27,Software direct deal package subscription.,Utilities,995.01,Expense
2020-07-28,Travel order automatic management restaurant.,Salary,1724.98,Income
2020-07-28,Payment direct grocery advance flight.,Entertainment,956.83,Expense
2020-07-28,Price my.,Health & Fitness,1900.58,Expense
2020-07-28,Business client direct.,Utilities,1365.81,Expense
2020-07-28,Already because education break significant.,Rent,918.36,Expense
2020-07-28,Insurance priority insurance.,Health & Fitness,1455.03,Expense
2020-07-28,Food material account tax taxi grocery health.,Other,2584.24,Income
2020-07-28,Reward order system.,Travel,323.0,Expense
2020-07-28,Renewal adjustment standard net support.,Investment,3138.07,Income
2020-07-29,Charge savings.,Investment,2459.9,Income
2020-07-29,Service platform.,Entertainment,1136.11,Expense
2020-07-29,Package renewal.,Shopping,993.23,Expense
2020-07-29,Support taxi market transfer hospital.,Salary,294.98,Income
2020-07-29,Pending project daily automatic booking booking service.,Salary,1182.84,Income
2020-07-29,Project premium.,Investment,4595.01,Income
2020-07-29,Platform bill system budget freelance.,Shopping,793.84,Expense
2020-07-29,Could gun.,Shopping,1662.83,Expense
2020-07-30,Express savings.,Salary,670.37,Income
2020-07-30,Savings entertainment vendor invoice direct daily.,Salary,31.25,Income
2020-07-30,Utility direct bus economy.,Other,1573.06,Income
2020-07-30,Weekly standard deal.,Investment,3179.47,Income
2020-07-30,Plan express economy savings daily.,Salary,1532.62,Income
2020-07-30,Kind appear environment capital explain.,Utilities,1489.87,Expense
2020-07-30,Discount electricity processed processed premium net client.,Shopping,1416.7,Expense
2020-07-30,Total mall automatic tools client project hospital.,Salary,927.19,Income
2020-07-31,Management mall.,Utilities,845.5,Expense
2020-07-31,Ahead picture son.,Travel,1506.04,Expense
2020-07-31,Software plan network gross budget.,Shopping,974.73,Expense
2020-07-31,Renewal digital premium order savings mall app.,Rent,1063.26,Expense
2020-08-01,Service insurance express priority.,Shopping,417.89,Expense
2020-08-01,Water positive child usually.,Entertainment,556.45,Expense
2020-08-01,Adjustment direct economy client.,Entertainment,1116.36,Expense
2020-08-01,Grocery hotel.,Food & Drink,1839.1,Expense
2020-08-01,Reward adjustment mortgage water.,Health & Fitness,1298.72,Expense
2020-08-01,Relate indeed lot line lead.,Other,2420.0,Income
2020-08-01,Transfer processed mortgage internet train purchase.,Entertainment,932.85,Expense
2020-08-01,Nearly need behavior.,Travel,1533.97,Expense
2020-08-01,Taxi adjustment discount project bus.,Salary,1413.65,Income
2020-08-01,Package insurance bus balance.,Travel,1481.77,Expense
2020-08-01,Insurance bus package.,Entertainment,981.11,Expense
2020-08-02,Delivery pending equipment hotel.,Shopping,181.87,Expense
2020-08-02,Service system standard.,Shopping,844.75,Expense
2020-08-02,Material deal parking economy automatic.,Rent,1150.52,Expense
2020-08-02,Priority tax credit savings train platform discount.,Other,4850.68,Income
2020-08-02,Train electricity economy vendor support utility client.,Utilities,545.12,Expense
2020-08-02,Flight total booking deal.,Rent,1082.76,Expense
2020-08-02,Flight bonus processed health.,Investment,1504.49,Income
2020-08-02,Renewal deposit hardware monthly.,Health & Fitness,1146.22,Expense
2020-08-02,Course out second carry.,Health & Fitness,1787.12,Expense
2020-08-03,Store gross financial.,Investment,3654.26,Income
2020-08-03,Tax phone.,Utilities,997.71,Expense
2020-08-03,Taxi food shop plan charge order.,Salary,1114.65,Income
2020-08-03,Significant take future.,Investment,2394.0,Income
2020-08-03,Budget internet train standard maintenance adjustment freelance.,Food & Drink,809.38,Expense
2020-08-04,Health invoice restaurant.,Entertainment,1512.14,Expense
2020-08-04,Store investment delivery contract phone monthly.,Entertainment,1656.2,Expense
2020-08-04,Charge hospital bonus processed.,Rent,1111.64,Expense
2020-08-04,Interest project phone.,Rent,473.55,Expense
2020-08-04,Star executive fear.,Utilities,1415.77,Expense
2020-08-04,Help usually thank wonder draw.,Shopping,133.91,Expense
2020-08-04,Your majority chance mrs generation.,Other,3210.0,Income
2020-08-04,Loan budget adjustment flight service entertainment.,Investment,4529.28,Income
2020-08-04,Priority economy utility budget budget special.,Rent,625.7,Expense
2020-08-05,Task improve fish.,Shopping,1810.63,Expense
2020-08-05,History professional star wonder.,Food & Drink,1714.9,Expense
2020-08-05,Mall renewal food balance.,Utilities,545.88,Expense
2020-08-05,Electricity pending freelance train fee.,Salary,680.7,Income
2020-08-05,Restaurant daily.,Shopping,892.8,Expense
2020-08-06,Standard package travel account hardware salary.,Rent,896.22,Expense
2020-08-06,Business phone budget store store deal.,Other,1906.87,Income
2020-08-06,Call whole.,Shopping,959.19,Expense
2020-08-06,Deal delivery plan vendor flight client.,Health & Fitness,1290.13,Expense
2020-08-06,Pending fuel transfer hotel discount bus hospital.,Investment,1216.28,Income
2020-08-06,Flight budget mortgage.,Utilities,99.67,Expense
2020-08-07,Booking business personal.,Travel,717.34,Expense
2020-08-07,Interest savings invoice budget.,Salary,274.48,Income
2020-08-07,Balance discount bonus.,Travel,1278.92,Expense
2020-08-07,Freelance automatic market software online mall special.,Travel,807.59,Expense
2020-08-07,Train personal bill payment investment transfer delivery.,Rent,1471.65,Expense
2020-08-08,Online hardware tools renewal support savings bonus.,Salary,1215.34,Income
2020-08-08,Personal hotel investment transfer.,Entertainment,865.18,Expense
2020-08-08,Train automatic project vendor invoice.,Other,3649.95,Income
2020-08-08,Them key.,Travel,1509.42,Expense
2020-08-08,Address century that wide.,Shopping,1081.06,Expense
2020-08-09,Taxi vendor parking.,Utilities,416.15,Expense
2020-08-09,Entertainment pharmacy express project.,Utilities,311.17,Expense
2020-08-09,Travel personal premium.,Investment,4270.83,Income
2020-08-09,Entertainment household.,Utilities,707.05,Expense
2020-08-09,Sit enter perhaps however.,Entertainment,981.58,Expense
2020-08-09,Standard purchase financial contract plan premium fee.,Other,1244.72,Income
2020-08-09,Client taxi store.,Food & Drink,1285.45,Expense
2020-08-09,Travel internet project clinic maintenance contract plan.,Shopping,997.94,Expense
2020-08-10,Support debit maintenance financial.,Investment,2520.18,Income
2020-08-10,Shop priority.,Salary,349.42,Income
2020-08-10,Health premium freelance.,Food & Drink,1714.66,Expense
2020-08-11,Pending bus interest hotel savings.,Rent,1212.6,Expense
2020-08-11,Account freelance.,Entertainment,1052.22,Expense
2020-08-11,Priority purchase digital standard advance.,Utilities,1445.86,Expense
2020-08-11,Fee vendor plan purchase credit hospital water.,Health & Fitness,520.64,Expense
2020-08-11,Personal clinic.,Food & Drink,1272.09,Expense
2020-08-11,Entertainment total adjustment weekly regular package service.,Entertainment,478.29,Expense
2020-08-11,Salary hospital transfer.,Travel,1007.73,Expense
2020-08-11,Personal priority discount.,Health & Fitness,1224.2,Expense
2020-08-12,Order direct loan entertainment daily reward.,Other,3437.29,Income
2020-08-12,Bus contract phone taxi bill food savings.,Food & Drink,166.43,Expense
2020-08-12,Gross grocery advance.,Salary,515.85,Income
2020-08-12,Monthly order bonus loan weekly.,Travel,1395.58,Expense
2020-08-12,Grocery freelance food parking priority.,Travel,1216.37,Expense
2020-08-12,Charge business tax gym premium.,Entertainment,580.83,Expense
2020-08-12,Hospital electricity transfer food delivery restaurant travel.,Salary,530.78,Income
2020-08-12,Taxi interest pending digital tools.,Health & Fitness,1319.0,Expense
2020-08-13,Parking client.,Utilities,1337.64,Expense
2020-08-13,System teacher here first.,Salary,67.76,Income
2020-08-13,Subscription debit network mall personal plan.,Investment,2783.23,Income
2020-08-13,Daily restaurant.,Travel,1645.55,Expense
2020-08-14,Purchase software balance investment app fee.,Health & Fitness,945.22,Expense
2020-08-14,Budget salary renewal health flight.,Health & Fitness,1170.98,Expense
2020-08-14,Along attention piece tv young.,Shopping,1451.12,Expense
2020-08-14,Insurance deposit weekly.,Rent,263.5,Expense
2020-08-14,Bonus regular budget market bonus reward parking.,Travel,1212.95,Expense
2020-08-14,Store software.,Salary,1417.31,Income
2020-08-14,Bus software savings.,Food & Drink,486.68,Expense
2020-08-15,Gross renewal project processed regular debit grocery.,Utilities,1535.19,Expense
2020-08-15,Parking system package.,Travel,643.65,Expense
2020-08-15,Utility market hardware net tools credit direct.,Entertainment,1120.13,Expense
2020-08-15,Net invoice standard personal grocery.,Travel,1344.36,Expense
2020-08-15,Insurance project.,Investment,2969.0,Income
2020-08-15,Travel utility daily advance software bill.,Shopping,1869.93,Expense
2020-08-15,Package direct fuel.,Travel,835.25,Expense
2020-08-15,Flight support entertainment.,Other,4322.55,Income
2020-08-15,Travel travel mortgage.,Food & Drink,1857.51,Expense
2020-08-15,Gross financial economy.,Utilities,811.9,Expense
2020-08-16,System network.,Health & Fitness,1567.0,Expense
2020-08-16,Within set region beyond.,Utilities,1961.64,Expense
2020-08-17,Total tools tax package utility.,Other,2119.06,Income
2020-08-17,Material maintenance project travel food management parking.,Food & Drink,1166.6,Expense
2020-08-17,Tough animal someone.,Shopping,1187.87,Expense
2020-08-17,Tax personal client household economy renewal.,Shopping,1735.05,Expense
2020-08-17,Daily travel electricity tax water digital entertainment.,Rent,1679.5,Expense
2020-08-17,Tools express.,Salary,803.19,Income
2020-08-17,Entertainment management.,Investment,1407.97,Income
2020-08-18,System utility tools.,Travel,1429.91,Expense
2020-08-18,Weekly food budget total.,Rent,286.64,Expense
2020-08-18,Internet vendor mortgage.,Shopping,1735.35,Expense
2020-08-18,Network total electricity.,Rent,1007.73,Expense
2020-08-18,Hear certainly most not.,Rent,1289.07,Expense
2020-08-18,Service digital booking maintenance flight reward.,Utilities,59.3,Expense
2020-08-19,Company participant him.,Other,1988.0,Income
2020-08-19,Bill priority.,Shopping,493.99,Expense
2020-08-19,Maintenance charge discount.,Entertainment,1225.03,Expense
2020-08-20,Software gross plan mortgage automatic grocery premium.,Other,3005.3,Income
2020-08-20,Tree central leave effect.,Other,3181.0,Income
2020-08-20,Fee invoice.,Investment,2293.64,Income
2020-08-20,Weekly online express store hotel.,Travel,1854.84,Expense
2020-08-20,Tools internet.,Utilities,1964.1,Expense
2020-08-20,Standard adjustment processed bill.,Utilities,331.52,Expense
2020-08-21,Interest account gym entertainment savings order premium.,Rent,809.6,Expense
2020-08-21,Together let.,Health & Fitness,681.63,Expense
2020-08-21,Purchase personal vendor flight material plan market.,Food & Drink,701.68,Expense
2020-08-21,Citizen kid generation onto police.,Travel,1506.5,Expense
2020-08-22,Salary processed.,Utilities,1008.43,Expense
2020-08-22,Down occur.,Food & Drink,1999.82,Expense
2020-08-22,Lead few yourself.,Travel,1671.47,Expense
2020-08-22,Vendor material support project health.,Shopping,1210.37,Expense
2020-08-22,Savings direct.,Food & Drink,620.15,Expense
2020-08-23,Package debit order internet deal.,Rent,1526.91,Expense
2020-08-23,Gym mall equipment.,Rent,1487.46,Expense
2020-08-23,Hardware hospital automatic total project net.,Entertainment,850.03,Expense
2020-08-23,Maintenance software grocery.,Travel,1394.04,Expense
2020-08-24,Digital market interest.,Salary,1111.37,Income
2020-08-24,Fuel plan processed gym salary.,Salary,190.51,Income
2020-08-24,Grocery subscription investment.,Rent,1274.58,Expense
2020-08-24,Contract client discount hardware.,Health & Fitness,1154.36,Expense
2020-08-24,Total savings daily delivery household.,Shopping,654.84,Expense
2020-08-24,Household health clinic service package.,Rent,554.7,Expense
2020-08-25,Transfer online account material clinic pharmacy.,Food & Drink,189.84,Expense
2020-08-25,Order pending monthly app.,Shopping,472.02,Expense
2020-08-25,Standard loan.,Other,1514.21,Income
2020-08-25,Transfer restaurant hardware water internet.,Shopping,1627.12,Expense
2020-08-26,Deposit online salary digital water.,Travel,724.63,Expense
2020-08-26,Monthly adjustment material weekly loan.,Health & Fitness,934.89,Expense
2020-08-26,Direct internet express support tax bill bill.,Salary,508.21,Income
2020-08-26,Freelance reward pharmacy advance health weekly hotel.,Entertainment,1403.13,Expense
2020-08-26,Yeah far within.,Rent,1564.65,Expense
2020-08-26,Electricity loan travel household automatic charge salary.,Travel,1524.71,Expense
2020-08-26,Service advance personal food.,Investment,795.36,Income
2020-08-27,Transfer adjustment utility travel.,Travel,1201.83,Expense
2020-08-27,Regular household utility parking parking delivery savings.,Entertainment,1008.19,Expense
2020-08-27,Savings budget personal project support total.,Health & Fitness,1840.02,Expense
2020-08-27,Daily store bus electricity.,Entertainment,917.38,Expense
2020-08-27,Gym internet interest tools network subscription gross.,Travel,698.77,Expense
2020-08-27,Hospital credit clinic.,Utilities,411.68,Expense
2020-08-27,Account ten sing.,Food & Drink,1899.73,Expense
2020-08-27,Total parking bus contract travel.,Health & Fitness,1313.34,Expense
2020-08-27,Seat strategy total simply discover.,Investment,1748.0,Income
2020-08-27,Loan bill.,Entertainment,685.89,Expense
2020-08-27,Taxi renewal.,Entertainment,413.18,Expense
2020-08-28,Fuel priority standard invoice fuel transfer.,Rent,653.55,Expense
2020-08-28,Balance delivery mall electricity management account.,Rent,1256.76,Expense
2020-08-28,Water adjustment.,Shopping,843.44,Expense
2020-08-28,Business hotel direct regular investment.,Travel,637.12,Expense
2020-08-28,Digital tools support.,Shopping,1663.08,Expense
2020-08-28,App vendor total shop hotel subscription.,Other,2797.2,Income
2020-08-28,Hotel advance tools.,Salary,925.64,Income
2020-08-28,Interest monthly interest network software.,Shopping,1133.93,Expense
2020-08-29,Bonus deal phone travel service app.,Salary,1322.22,Income
2020-08-29,Pm per question.,Salary,1342.22,Income
2020-08-29,Shop train reward automatic hotel economy.,Entertainment,974.11,Expense
2020-08-30,Water phone pharmacy freelance pharmacy.,Travel,790.92,Expense
2020-08-30,Balance plan.,Food & Drink,1643.64,Expense
2020-08-30,Internet pharmacy loan flight health.,Health & Fitness,614.6,Expense
2020-08-30,Daily hotel contract mall maintenance pending.,Travel,1406.65,Expense
2020-08-30,Subscription freelance daily flight charge.,Travel,848.12,Expense
2020-08-30,Material support investment online regular financial.,Food & Drink,730.38,Expense
2020-08-30,Best physical always small almost.,Entertainment,935.42,Expense
2020-08-30,Deal order.,Rent,1202.74,Expense
2020-08-31,Bed far section.,Health & Fitness,343.9,Expense
2020-08-31,Credit payment.,Travel,1135.69,Expense
2020-08-31,Order deposit flight parking.,Health & Fitness,1291.22,Expense
2020-08-31,Transfer account payment order.,Rent,734.4,Expense
2020-08-31,Parking transfer loan.,Salary,994.65,Income
2020-08-31,Shop discount purchase debit monthly.,Salary,959.56,Income
2020-09-01,Car much will.,Rent,1557.81,Expense
2020-09-01,Equipment restaurant discount net.,Food & Drink,499.97,Expense
2020-09-01,Standard transfer.,Salary,1517.04,Income
